owner_id,owner_login,owner_name,owner_url,homepage_url,owner_description,owner_logo,quarter_start,quarter_end,github_stars_start,github_stars_end,github_stars_growth_rate,github_stars_growth_percentile,github_stars_final_weight,github_contributors_start,github_contributors_end,github_contributors_growth_rate,github_contributors_growth_percentile,github_contributors_final_weight,package_downloads_start,package_downloads_end,package_downloads_growth_rate,package_downloads_growth_percentile,package_downloads_final_weight
MDEyOk9yZ2FuaXphdGlvbjEyMjQwODUw,AvengeMedia,Avenge Media LLC,https://github.com/AvengeMedia,https://avengemedia.net,Software and business solutions.,https://avatars.githubusercontent.com/u/12240850?v=4,2026-01-01,2026-04-01,3109.0,5576.0,0.7935027339980701,99.30919139034322,1.0,98.0,163.0,0.6632653061224489,99.03560830860532,1.0,,,,,
O_kgDOCcPQNQ,better-auth,Better Auth,https://github.com/better-auth,https://better-auth.com,The most comprehensive authentication framework for typescript,https://avatars.githubusercontent.com/u/163827765?v=4,2026-01-01,2026-04-01,26836.0,32291.0,0.2032717245491131,96.69866201279814,1.0,715.0,854.0,0.1944055944055944,94.15006358626536,1.0,47198921.0,148837532.0,2.153409629851496,98.81593110871906,1.0
MDEyOk9yZ2FuaXphdGlvbjgyOTc2NDQ4,goauthentik,Authentik Security,https://github.com/goauthentik,https://goauthentik.io/,Making authentication simple.,https://avatars.githubusercontent.com/u/82976448?v=4,2026-01-01,2026-04-01,20001.0,21078.0,0.0538473076346182,81.8280977312391,1.0,47.0,101.0,1.148936170212766,99.501907587961,1.0,2640152.0,3171512.0,0.2012611395101494,74.34517402224614,1.0
O_kgDOCpYxrA,OpenDCAI,OpenDCAI,https://github.com/OpenDCAI,,Define the future of Data-centric AI together,https://avatars.githubusercontent.com/u/177615276?v=4,2026-01-01,2026-04-01,2643.0,5132.0,0.9417328793038214,99.4328097731239,1.0,60.0,77.0,0.2833333333333333,96.561042814752,1.0,9758.0,14543.0,0.4543,90.50950843200572,1.0
O_kgDODteeIQ,VibiumDev,Vibium,https://github.com/VibiumDev,https://vibium.com,The fastest way to automate a browser,https://avatars.githubusercontent.com/u/249011745?v=4,2026-01-01,2026-04-01,2099.0,2773.0,0.3211052882324917,98.05846422338568,1.0,2.0,4.0,-0.6,,,7997.0,38575.0,2.8575,99.156799425906,1.0
O_kgDOCAzO1A,firecrawl,Firecrawl,https://github.com/firecrawl,firecrawl.dev,Web data API for AI,https://avatars.githubusercontent.com/u/135057108?v=4,2026-01-01,2026-04-01,39564.0,68507.0,0.7315488828227682,99.23647469458987,1.0,58.0,76.0,0.3103448275862069,97.12802034760492,1.0,25853753.0,40897829.0,0.5818913795610254,93.30821672048798,1.0
O_kgDOCPpVEg,matter-js,matter.js,https://github.com/matter-js,,Unofficial implementation of the Matter IoT protocol,https://avatars.githubusercontent.com/u/150623506?v=4,2026-01-01,2026-04-01,1520.0,1877.0,0.2348684210526316,97.12769051774288,1.0,80.0,93.0,0.1625,92.13119966087324,1.0,3280105.0,10103234.0,2.080155665748505,98.76210979547902,1.0
MDEyOk9yZ2FuaXphdGlvbjgwMDY0ODc1,OpenBB-finance,OpenBB,https://github.com/OpenBB-finance,www.openbb.co,"Investment Research for Everyone, Anywhere",https://avatars.githubusercontent.com/u/80064875?v=4,2026-01-01,2026-04-01,57875.0,67116.0,0.1596717062634989,95.4043048283886,1.0,11.0,22.0,1.0,99.40122933446376,1.0,1257588.0,1465926.0,0.1656647487094342,69.57301758162899,1.0
O_kgDOCV8L_w,gptme,gptme,https://github.com/gptme,https://gptme.org/,"Your agent in your terminal, equipped with local tools: writes and runs code, uses the terminal, browses the web, uses your computer, vision.",https://avatars.githubusercontent.com/u/157223935?v=4,2026-01-01,2026-04-01,4107.0,4260.0,0.0372534696859021,72.27312390924956,1.0,16.0,25.0,0.5625,98.76536668079694,1.0,60801.0,131711.0,1.166263712767882,97.48833871546466,1.0
O_kgDOCjKlWQ,LMCache,LMCache,https://github.com/LMCache,,,https://avatars.githubusercontent.com/u/171091289?v=4,2026-01-01,2026-04-01,6594.0,7876.0,0.1944191689414619,96.46596858638743,1.0,146.0,167.0,0.1438356164383561,90.52564646036456,1.0,152740.0,498116.0,2.261202042686919,98.85181198421242,1.0
O_kgDOD8dtFg,mangowm,mangowm,https://github.com/mangowm,,mango wayland compositor,https://avatars.githubusercontent.com/u/264727830?v=4,2026-01-01,2026-04-01,1601.0,2448.0,0.5290443472829481,98.83653286794647,1.0,28.0,50.0,0.7857142857142857,99.23696481559983,1.0,,,,,
MDEyOk9yZ2FuaXphdGlvbjE5MjIxOTM5,UKGovernmentBEIS,"Department of Business, Energy and Industrial Strategy",https://github.com/UKGovernmentBEIS,,,https://avatars.githubusercontent.com/u/19221939?v=4,2026-01-01,2026-04-01,2097.0,2471.0,0.1783500238435861,96.04421175101804,1.0,239.0,293.0,0.2259414225941422,95.3582026282323,1.0,25812628.0,74215196.0,1.8751507208022369,98.60064585575888,1.0
O_kgDOCFIXCw,SWE-bench,SWE-bench,https://github.com/SWE-bench,https://swebench.com/,Organization for maintaining SWE-bench and related projects,https://avatars.githubusercontent.com/u/139597579?v=4,2026-01-01,2026-04-01,4771.0,5454.0,0.1431565709494864,94.72076788830717,1.0,152.0,159.0,0.0460526315789473,60.35396354387452,1.0,8859468.0,35569500.0,3.0148573255188684,99.22856117689273,1.0
